year,min_month_value,average_yearly,max_month_value
1958,315.7,317.45,317.51
1959,315.58,316.48,316.65
1960,316.43,316.98,317.58
1961,316.89,317.7,318.54
1962,317.94,318.55,319.68
1963,318.74,319.07,319.86
1964,319.57,320.01,320.74
1965,319.44,320.44,320.89
1966,320.62,321.6,322.39
1967,322.33,322.5,323.04
1968,322.57,323.15,323.89
1969,324.0,324.42,325.63
1970,325.06,325.98,326.93
1971,326.17,326.68,327.17
1972,326.77,327.63,327.75
1973,328.55,329.56,330.3
1974,329.35,330.71,331.48
1975,330.73,331.46,331.94
1976,331.56,332.74,333.36
1977,332.68,333.17,334.96
1978,334.94,335.26,336.66
1979,336.14,336.69,338.27
1980,337.9,338.34,340.07
1981,339.29,340.55,341.63
1982,340.93,341.76,342.77
1983,341.57,342.79,343.37
1984,344.21,344.92,345.68
1985,345.48,346.41,347.91
1986,346.78,347.48,348.25
1987,348.73,348.92,349.81
1988,350.51,351.7,352.5
1989,353.07,353.43,354.08
1990,353.86,355.1,355.75
1991,354.93,355.82,357.33
1992,356.34,357.21,357.97
1993,357.1,357.42,358.59
1994,358.36,359.04,360.11
1995,360.04,361.0,361.98
1996,362.2,363.36,364.28
1997,363.24,364.21,364.65
1998,365.39,366.1,367.36
1999,368.35,369.28,369.84
2000,369.45,369.71,370.75
2001,370.76,371.69,372.63
2002,372.7,373.37,374.3
2003,375.07,375.82,376.64
2004,377.17,378.05,379.06
2005,378.63,379.91,380.95
2006,381.58,382.4,382.86
2007,383.1,384.12,384.81
2008,385.78,386.06,386.28
2009,387.17,387.7,389.04
2010,388.91,390.41,391.37
2011,391.5,392.05,392.8
2012,393.31,394.04,394.59
2013,395.78,397.03,397.66
2014,398.04,398.27,399.91
2015,400.18,400.55,401.74
2016,402.73,404.25,405.06
2017,406.36,406.66,407.54
2018,408.15,408.52,409.59
2019,411.03,411.96,412.18
2020,413.61,414.34,414.74
2021,415.52,416.75,417.64
2022,418.19,419.28,418.81
2023,419.47,420.41,421.0
