age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,modern_latitude,modern_longitude
55709,,400,652,170,134,32.65167,158.50593
55716,,400,641,165,120,32.65167,158.50593
55739,,400,667,167,128,32.65167,158.50593
55782,,400,688,126,119,32.65167,158.50593
55787,,400,706,197,149,32.65167,158.50593
55788,,400,772,162,136,32.65167,158.50593
55827,,400,883,273,218,32.65167,158.50593
55844,,400,1079,504,271,32.65167,158.50593
55850,,400,1310,622,365,32.65167,158.50593
55853,,400,1595,640,394,32.65167,158.50593
55872,,400,1883,697,450,32.65167,158.50593
55872,,400,1883,1054,685,32.65167,158.50593
55890,,400,1741,610,408,32.65167,158.50593
55913,,400,2085,1058,599,32.65167,158.50593
55924,,400,2266,1066,631,32.65167,158.50593
55924,,400,2272,1244,727,32.65167,158.50593
55924,,400,2226,1401,793,32.65167,158.50593
55941,,400,694,118,149,32.65167,158.50593
55945,,400,668,149,169,32.65167,158.50593
55949,,400,665,105,134,32.65167,158.50593
55951,,400,640,164,159,32.65167,158.50593
55959,,400,633,97,125,32.65167,158.50593
6.18,,,253.31,4.46,16.23,0.31972,159.36889
14.25,,,203.79,11.12,12.84,0.31972,159.36889
27.86,,,187.96,3.95,12.18,0.31972,159.36889
36.85,,,196.55,5.16,11.25,0.31972,159.36889
51.53,,,200.85,8.36,9.94,0.31972,159.36889
90.03,,,223.53,4.25,12.82,0.31972,159.36889
90.85,,,244.41,6.15,12.27,0.31972,159.36889
105.7,,,266.6,12.22,8.58,0.31972,159.36889
111.1,,,263.49,12.26,9,0.31972,159.36889
128.22,,,220.15,5.54,12.69,0.31972,159.36889
146.2,,,201.41,7.36,8.53,0.31972,159.36889
163.93,,,202.49,8.37,7.92,0.31972,159.36889
198.46,,,224.44,8.21,9.26,0.31972,159.36889
212.49,,,243.43,9.05,9.34,0.31972,159.36889
243.96,,,204.53,9.84,7.95,0.31972,159.36889
246.94,,,191.24,10.92,9.73,0.31972,159.36889
252.53,,,238.86,11.52,7.08,0.31972,159.36889
254.81,,,188.81,9.5,8.38,0.31972,159.36889
259.28,,,235.25,13.51,8.65,0.31972,159.36889
266.6,,,188.04,5.67,11.49,0.31972,159.36889
297.04,,,224.52,6.93,12.87,0.31972,159.36889
316,,,265.72,15.46,10.07,0.31972,159.36889
329.52,,,230.18,11.82,8.82,0.31972,159.36889
360.18,,,196.64,8.73,8.1,0.31972,159.36889
366.82,,,206.67,7.6,12.82,0.31972,159.36889
373.6,,,274.59,14.9,9.68,0.31972,159.36889
379.26,,,217.56,10.46,7.49,0.31972,159.36889
423.56,,,270.49,20.23,13.4,0.31972,159.36889
426.1,,,210.27,14.45,10.6,0.31972,159.36889
529.43,,,239.13,11.85,9.53,0.31972,159.36889
541.26,,,219.1,9.33,7.77,0.31972,159.36889
581.2,,,274.76,13.46,9.98,0.31972,159.36889
588.33,,,227.16,10.56,8.84,0.31972,159.36889
613.16,,,247.32,8.78,11.96,0.31972,159.36889
616.96,,,254.89,12.28,9.79,0.31972,159.36889
635.5,,,203.15,13.75,10.39,0.31972,159.36889
670.1,,,223.84,11.39,9.79,0.31972,159.36889
700.1,,,250.3,10.14,8.75,0.31972,159.36889
710.1,,,233.13,10.68,9.33,0.31972,159.36889
720.1,,,211.5,12.05,9.74,0.31972,159.36889
728,,,214.48,10.34,8.96,0.31972,159.36889
784.87,,,228.31,10.91,8.8,0.31972,159.36889
800.95,,,232.87,11.83,10.36,0.31972,159.36889
849.84,,,268.26,13.82,11.52,0.31972,159.36889
859.88,,,265.55,14.21,11.96,0.31972,159.36889
863.91,,,273.7,15.8,13.06,0.31972,159.36889
