xls,site_name,proxy,doi,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,reference,modern_latitude,modern_longitude
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55709,,400,652,170,134,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55716,,400,641,165,120,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55739,,400,667,167,128,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55782,,400,688,126,119,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55787,,400,706,197,149,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55788,,400,772,162,136,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55827,,400,883,273,218,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55844,,400,1079,504,271,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55850,,400,1310,622,365,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55853,,400,1595,640,394,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55872,,400,1883,697,450,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55872,,400,1883,1054,685,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55890,,400,1741,610,408,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55913,,400,2085,1058,599,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55924,,400,2266,1066,631,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55924,,400,2272,1244,727,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55924,,400,2226,1401,793,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55941,,400,694,118,149,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55945,,400,668,149,169,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55949,,400,665,105,134,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55951,,400,640,164,159,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_haynes_2020.xlsx,1209,Boron Proxies,10.1073/pnas.2003197117,55959,,400,633,97,125,"Haynes, L.L. and Hönisch, B. \The seawater carbon inventory at the Paleocene-Eocene Thermal Maximum\""",32.65167,158.50593
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,6.18,,,253.31,4.46,16.23,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,14.25,,,203.79,11.12,12.84,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,27.86,,,187.96,3.95,12.18,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,36.85,,,196.55,5.16,11.25,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,51.53,,,200.85,8.36,9.94,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,90.03,,,223.53,4.25,12.82,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,90.85,,,244.41,6.15,12.27,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,105.7,,,266.6,12.22,8.58,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,111.1,,,263.49,12.26,9,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,128.22,,,220.15,5.54,12.69,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
b_ca_tripati_2009.xlsx,806,Boron Proxies,10.1126/science.1178296,146.2,,,201.41,7.36,8.53,"Tripati, A.K., C.D. Roberts and R.A. Eagle (2009) Coupling of CO2 and Ice Sheet Stability Over Major Climate Transitions of the Last 20 Million Years, Science, 10.1126/science.1178296, 1178296",0.31972,159.36889
