site,age,ep,co2,co2_16pc,co2_84pc,ref,method
925,20.0,12.3,193,143,263,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,20.0,12.3,163,122,220,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,28.0,11.9,206,155,305,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,33.5,12.5,181,136,253,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,41.2,12.2,182,133,256,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,58.3,12.2,241,181,367,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,73.6,13.0,238,169,357,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,89.3,12.9,230,168,342,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,105.4,12.8,242,180,377,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,113.2,12.9,239,183,355,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,133.6,12.9,180,133,257,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,146.5,12.1,191,142,280,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,156.2,12.3,236,168,361,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,166.6,12.9,196,147,284,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,310.0,12.4,117,88,166,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,431.0,11.0,144,113,198,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,575.3,11.5,131,96,186,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,928.7,11.3,150,112,211,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1046.0,11.7,204,155,307,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1191.0,12.5,168,128,241,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1206.0,12.0,186,138,267,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1218.8,12.2,197,146,280,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1232.2,12.4,131,103,180,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1250.0,11.3,165,120,232,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1272.0,11.9,141,104,209,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1284.6,11.5,212,159,321,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1351.2,12.6,155,120,224,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1640.7,11.8,171,133,242,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1729.5,12.0,161,122,226,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,1965.0,11.8,216,158,312,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
925,2092.6,12.6,214,159,306,Zhang et al. (2013) & Gonzalez et al. (submitted),Quaternary anchoring (e.g. Stoll et al. 2019)
